Actor,Score,Title,Year,Gross
Robin Williams,7.3,"Good Morning, Vietnam",1987,123922370
Johnny Depp,7.2,Rango,2011,123207194
Harrison Ford,6.9,Clear and Present Danger,1994,122012710
Matt Damon,7.9,The Bourne Identity,2002,121468960
Keanu Reeves,7.2,Speed,1994,121248145
Robin Williams,6.7,Hook,1991,119654900
Morgan Freeman,7.3,Now You See Me,2013,117698894
Bruce Willis,7.1,Die Hard 2,1990,117541000
Kevin Spacey,6.9,Horrible Bosses,2011,117528646
Sylvester Stallone,8.1,Rocky,1976,117235247
Leonardo DiCaprio,8.2,The Wolf of Wall Street,2013,116866727
Tom Hanks,6.5,You've Got Mail,1998,115731542
Harrison Ford,7.5,American Graffiti,1973,115000000
Tom Hanks,7.3,Big,1988,114968774
Nicolas Cage,7.3,Face/Off,1997,112225777
Tom Cruise,7.7,The Last Samurai,2003,111110575
Robert Downey Jr.,7,Tropic Thunder,2008,110416702
Sylvester Stallone,7.7,Creed,2015,109712885
Kevin Spacey,7.4,A Time to Kill,1996,108706165
Matt Damon,7.1,Jason Bourne,2016,108521835
Bruce Willis,8.9,Pulp Fiction,1994,107930000
Tom Hanks,7.2,A League of Their Own,1992,107458785
Tom Hanks,7.9,Captain Phillips,2013,107100855
Robert De Niro,6.7,Analyze This,1999,106694016
Morgan Freeman,7.4,Driving Miss Daisy,1989,106593296
Jason Statham,7,The Italian Job,2003,106126012
Tom Hanks,7.7,Road to Perdition,2002,104054514
Hugh Jackman,7.3,Rise of the Guardians,2012,103400692
Jason Statham,6.5,The Expendables,2010,102981571
Leonardo DiCaprio,7.5,The Aviator,2004,102608827
Nicolas Cage,6.5,Gone in Sixty Seconds,2000,101643008
Denzel Washington,7.2,The Equalizer,2014,101530738
Steve Buscemi,6.8,Con Air,1997,101087161
Matthew McConaughey,7.4,Contact,1997,100853835
Denzel Washington,6.5,The Pelican Brief,1993,100768056
Tom Cruise,6.9,Vanilla Sky,2001,100614858
Will Ferrell,6.9,Step Brothers,2008,100468793
Robert Downey Jr.,6.6,Due Date,2010,100448498
Tom Cruise,7.9,Edge of Tomorrow,2014,100189501
Morgan Freeman,8.6,Se7en,1995,100125340
Bruce Willis,7.6,Die Hard with a Vengeance,1995,100012500
Tom Cruise,7.6,Collateral,2004,100003492
Gerard Butler,6.5,Olympus Has Fallen,2013,98895417
Johnny Depp,7,Public Enemies,2009,97030725
Liam Neeson,8.9,Schindler's List,1993,96067179
Robin Williams,8,Dead Poets Society,1989,95860116
Philip Seymour Hoffman,7.2,Cold Mountain,2003,95632614
Harrison Ford,7.5,42,2013,95001343
Denzel Washington,6.9,The Book of Eli,2010,94822707
Anthony Hopkins,6.7,The Mask of Zorro,1998,93771072
Denzel Washington,7.3,Flight,2012,93749203
Christian Bale,7.9,The Fighter,2010,93571803
Morgan Freeman,7.4,The Bucket List,2007,93452056
Matt Damon,6.6,Elysium,2013,93050117
Philip Seymour Hoffman,7.2,Red Dragon,2002,92930005
Liam Neeson,7,Non-Stop,2014,91439400
Denzel Washington,7.3,Crimson Tide,1995,91400000
Sylvester Stallone,6.6,Antz,1998,90646554
Bruce Willis,7.1,RED,2010,90356857
J.K. Simmons,6.6,Terminator Genisys,2015,89732035
Johnny Depp,6.5,The Lone Ranger,2013,89289910
Morgan Freeman,7,Oblivion,2013,89021735
Gerard Butler,6.5,The Ugly Truth,2009,88915214
Denzel Washington,7.6,Inside Man,2006,88504640
Hugh Jackman,7.1,Real Steel,2011,85463309
Scarlett Johansson,7,The SpongeBob SquarePants Movie,2004,85416609
Bill Murray,6.9,Stripes,1981,85300000
Jason Statham,6.7,The Expendables 2,2012,85017401
J.K. Simmons,7.4,Up in the Air,2009,83813460
Tom Hanks,7.5,Saving Mr. Banks,2013,83299761
Harrison Ford,6.9,Patriot Games,1992,83287363
Tom Cruise,7.1,Valkyrie,2008,83077470
Keanu Reeves,7.5,Bram Stoker's Dracula,1992,82522790
Denzel Washington,6.8,Unstoppable,2010,81557479
Philip Seymour Hoffman,7.3,The Talented Mr. Ripley,1999,81292135
Kevin Spacey,6.8,21,2008,81159365
Tom Cruise,7,Jack Reacher,2012,80033643
Tom Cruise,7,Jack Reacher,2012,80033643
Robert De Niro,7.3,Cape Fear,1991,79100000
Harrison Ford,8.5,Apocalypse Now,1979,78800000
Nicolas Cage,6.7,City of Angels,1998,78745923
Denzel Washington,7.7,Man on Fire,2004,77862546
Leonardo DiCaprio,7.5,Gangs of New York,2002,77679638
Morgan Freeman,7.6,March of the Penguins,2005,77413017
Denzel Washington,7.7,Philadelphia,1993,77324422
Matthew McConaughey,6.6,U-571,2000,77086030
Tom Hanks,7.3,The Terminal,2004,77032279
Robert De Niro,7.9,The Untouchables,1987,76270454
Denzel Washington,7.7,Training Day,2001,76261036
Nicolas Cage,6.7,The Family Man,2000,75764085
Matt Damon,6.6,Contagion,2011,75638743
Scarlett Johansson,7.1,We Bought a Zoo,2011,75621915
Philip Seymour Hoffman,7.6,Moneyball,2011,75605492
Denzel Washington,6.7,2 Guns,2013,75573300
Scarlett Johansson,6.5,The Horse Whisperer,1998,75370763
Robert De Niro,7.2,The Intern,2015,75274748
Will Ferrell,7.2,Old School,2003,74608545
Steve Buscemi,6.6,Monster House,2006,73661010
Gerard Butler,7.4,Law Abiding Citizen,2009,73343413
Matt Damon,7,Spirit: Stallion of the Cimarron,2002,73215310
Tom Hanks,7.6,Bridge of Spies,2015,72306065
Morgan Freeman,6.9,Dolphin Tale,2011,72279690
J.K. Simmons,7.1,"I Love You, Man",2009,71347010
Robert De Niro,6.8,The Score,2001,71069884
Denzel Washington,7,John Q,2002,71026631
Bill Murray,8.1,Groundhog Day,1993,70906973
Sylvester Stallone,7.2,Rocky Balboa,2006,70269171
Tom Cruise,7.2,Born on the Fourth of July,1989,70001698
Hugh Jackman,6.5,Swordfish,2001,69772969
Kevin Spacey,6.6,Outbreak,1995,67823573
J.K. Simmons,6.7,Hidalgo,2004,67286731
Philip Seymour Hoffman,7.1,Charlie Wilson's War,2007,66636385
Anthony Hopkins,7.5,Legends of the Fall,1994,66528842
J.K. Simmons,6.5,Contraband,2012,66489425
Denzel Washington,6.7,The Bone Collector,1999,66488090
Steve Buscemi,8,Big Fish,2003,66257002
Denzel Washington,6.6,The Manchurian Candidate,2004,65948711
Harrison Ford,7.4,Witness,1985,65500000
Kevin Spacey,8.3,L.A. Confidential,1997,64604977
Hugh Jackman,6.7,Flushed Away,2006,64459316
Robert De Niro,6.6,Last Vegas,2013,63910583
Bruce Willis,6.8,Beavis and Butt-Head Do America,1996,63071133
Johnny Depp,7,Black Mass,2015,62563543
Matt Damon,7.1,The Adjustment Bureau,2011,62453315
Harrison Ford,6.7,Ender's Game,2013,61656849
Liam Neeson,6.9,Unknown,2011,61094903
Liam Neeson,6.9,Unknown,2011,61094903
Keanu Reeves,7.5,The Devil's Advocate,1997,60984028
Hugh Jackman,8.1,Prisoners,2013,60962878
Morgan Freeman,6.6,Kiss the Girls,1997,60491560
J.K. Simmons,7,Burn After Reading,2008,60338891
Bill Murray,7,Scrooged,1988,60328558
Bill Murray,8.1,The Grand Budapest Hotel,2014,59073773
Denzel Washington,6.6,Courage Under Fire,1996,58918501
Will Ferrell,6.6,Curious George,2006,58336565
Robin Williams,6.8,Bicentennial Man,1999,58220776
Matthew McConaughey,7.3,The Lincoln Lawyer,2011,57981889
Leonardo DiCaprio,8,Blood Diamond,2006,57366262
Robert De Niro,9,The Godfather: Part II,1974,57300000
Bruce Willis,6.7,The Whole Nine Yards,2000,57262492
Johnny Depp,7.9,Edward Scissorhands,1990,56362352
Tom Cruise,7.3,Eyes Wide Shut,1999,55637680
Robin Williams,7,What Dreams May Come,1998,55350897
Will Ferrell,7,Austin Powers: International Man of Mystery,1997,53868030
Gerard Butler,7.1,P.S. I Love You,2007,53680848
Christian Bale,7.8,3:10 to Yuma,2007,53574088
Johnny Depp,7.4,Corpse Bride,2005,53337608
Robert De Niro,7.5,Sleepers,1996,53300852
Bruce Willis,6.7,RED 2,2013,53215979
Christian Bale,8.5,The Prestige,2006,53082743
Johnny Depp,7.6,Blow,2001,52937130
Bill Murray,7.6,The Royal Tenenbaums,2001,52353636
Keanu Reeves,6.8,The Lake House,2006,52320979
Tom Cruise,7,The Color of Money,1986,52293982
Johnny Depp,7.8,Finding Neverland,2004,51676606
Liam Neeson,6.8,The Grey,2011,51533608
Gerard Butler,7.4,The Phantom of the Opera,2004,51225796
Matt Damon,7,Syriana,2005,50815288
Matt Damon,7,Syriana,2005,50815288
Denzel Washington,7.6,The Hurricane,1999,50668906
Kevin Spacey,7.4,K-PAX,2001,50173190
Christian Bale,7.3,Little Women,1994,50003300
Robert De Niro,7.2,Men of Honor,2000,48814909
Denzel Washington,7.7,Malcolm X,1992,48169908
Johnny Depp,6.6,Secret Window,2004,47781388
Liam Neeson,7.2,Kingdom of Heaven,2005,47396698
Robert Downey Jr.,7.4,The Judge,2014,47105085
Robert De Niro,8.7,Goodfellas,1990,46836394
Leonardo DiCaprio,6.8,Romeo + Juliet,1996,46338728
Matt Damon,7.1,The Rainmaker,1997,45856732
Bruce Willis,7.8,Moonrise Kingdom,2012,45507053
Scarlett Johansson,6.5,In Good Company,2004,45489752
Robert De Niro,6.9,Cop Land,1997,44886089
Keanu Reeves,6.5,The Replacements,2000,44737059
Anthony Hopkins,7.1,Meet Joe Black,1998,44606335
Scarlett Johansson,7.8,Lost in Translation,2003,44566004
Kevin Spacey,7.3,The Negotiator,1998,44484065
Anthony Hopkins,7.2,Amistad,1997,44175394
Bill Murray,7.3,St. Vincent,2014,44134898
Matthew McConaughey,7.1,We Are Marshall,2006,43532294
Bruce Willis,6.6,Tears of the Sun,2003,43426961
Robert De Niro,7.1,Wag the Dog,1997,43022524
Harrison Ford,7.2,The Age of Adaline,2015,42478175
Robert De Niro,8.2,Casino,1995,42438300
Johnny Depp,7.8,Donnie Brasco,1997,41954997
Robert De Niro,7.3,Ronin,1998,41609593
Bruce Willis,6.6,Bandits,2001,41523271
Denzel Washington,6.5,Out of Time,2003,40905277
Keanu Reeves,6.9,Bill & Ted's Excellent Adventure,1989,40485039
Will Ferrell,7.6,Stranger Than Fiction,2006,40137776
Bill Murray,7.4,Caddyshack,1980,39800000
Leonardo DiCaprio,6.6,The Beach,2000,39778599
Robert De Niro,7.5,Jackie Brown,1997,39647595
Leonardo DiCaprio,7.1,Body of Lies,2008,39380442
Bill Murray,6.9,Little Shop of Horrors,1986,38747385
Robert De Niro,7.6,Midnight Run,1988,38413606
Matt Damon,7.4,Invictus,2009,37479778
Leonardo DiCaprio,6.6,J. Edgar,2011,37304950
Bruce Willis,6.6,16 Blocks,2006,36883539
Nicolas Cage,6.5,8MM,1999,36283504
Scarlett Johansson,6.9,The Island,2005,35799026
Scarlett Johansson,6.9,The Island,2005,35799026
Liam Neeson,6.7,K-19: The Widowmaker,2002,35168677
J.K. Simmons,6.5,For Love of the Game,1999,35168395
Matt Damon,6.9,Green Zone,2010,35024475
Keanu Reeves,7.7,Dangerous Liaisons,1988,34700000
Keanu Reeves,7.7,Dangerous Liaisons,1988,34700000
Anthony Hopkins,6.5,Instinct,1999,34098563
Kevin Spacey,7.2,Pay It Forward,2000,33508922
Philip Seymour Hoffman,7.5,Doubt,2008,33422556
Matt Damon,6.5,The Informant!,2009,33313582
Robert Downey Jr.,7.7,Zodiac,2007,33048353
Matt Damon,6.5,Hereafter,2010,32741596
Philip Seymour Hoffman,7.9,Almost Famous,2000,32522352
Nicolas Cage,7.6,Leaving Las Vegas,1995,31968347
Tom Hanks,6.9,Extremely Loud & Incredibly Close,2011,31836745
Robert Downey Jr.,6.7,The Soloist,2009,31670931
Robin Williams,7.5,August Rush,2007,31655091
Liam Neeson,6.9,Rob Roy,1995,31600000
Johnny Depp,6.8,From Hell,2001,31598308
Johnny Depp,6.8,From Hell,2001,31598308
Robin Williams,6.8,One Hour Photo,2002,31597131
Hugh Jackman,6.9,Chappie,2015,31569268
Robert Downey Jr.,7.5,"Good Night, and Good Luck.",2005,31501218
Matt Damon,6.7,The Legend of Bagger Vance,2000,30695227
Matt Damon,7.4,Dogma,1999,30651422
Denzel Washington,7.6,The Great Debaters,2007,30226144
Jason Statham,8.3,Snatch,2000,30093107
Jason Statham,8.3,Snatch,2000,30093107
Will Ferrell,6.9,Jay and Silent Bob Strike Back,2001,30059386
Jason Statham,7.3,The Bank Job,2008,30028592
Bill Murray,6.5,Wild Things,1998,29753944
Jason Statham,6.6,The Mechanic,2011,29113588
Philip Seymour Hoffman,7.4,Capote,2005,28747570
Morgan Freeman,9.3,The Shawshank Redemption,1994,28341469
Jason Statham,7,Crank,2006,27829874
Anthony Hopkins,6.9,The Edge,1997,27779888
Matthew McConaughey,8,Dallas Buyers Club,2013,27296514
Tom Hanks,7.5,Cloud Atlas,2012,27098580
Harrison Ford,8.2,Blade Runner,1982,27000000
Denzel Washington,7.9,Glory,1989,26830000
Denzel Washington,7.9,Glory,1989,26830000
Robert De Niro,6.7,Machete,2010,26589953
Johnny Depp,7.5,A Nightmare on Elm Street,1984,26505000
Johnny Depp,7.5,A Nightmare on Elm Street,1984,26505000
Liam Neeson,6.6,Run All Night,2015,26442251
Keanu Reeves,6.8,Street Kings,2008,26415649
Liam Neeson,6.5,A Walk Among the Tombstones,2014,25977365
Anthony Hopkins,7.5,Howards End,1992,25967000
Nicolas Cage,6.5,The Cotton Club,1984,25900000
Anthony Hopkins,7.4,Shadowlands,1993,25842000
Tom Hanks,6.9,That Thing You Do!,1996,25809813
Tom Cruise,7.2,The Outsiders,1983,25600000
Scarlett Johansson,8,Her,2013,25556065
Jason Statham,6.8,The Transporter,2002,25296447
Keanu Reeves,6.7,Sweet November,2001,25178165
Sylvester Stallone,6.7,Escape Plan,2013,25121291
Jason Statham,6.5,Killer Elite,2011,25093607
Kevin Spacey,6.6,Midnight in the Garden of Good and Evil,1997,25078937
Bill Murray,6.9,Kingpin,1996,24944213
J.K. Simmons,7.6,Thank You for Smoking,2005,24792061
Morgan Freeman,7,Unleashed,2005,24520892
Anthony Hopkins,6.9,Hearts in Atlantis,2001,24185781
Nicolas Cage,7.6,Lord of War,2005,24127895
Bill Murray,7.3,The Life Aquatic with Steve Zissou,2004,24006726
Kevin Spacey,8.6,The Usual Suspects,1995,23272306
Scarlett Johansson,7.2,Vicky Cristina Barcelona,2008,23213577
